Date,SPX_PX_TO_CASH_FLOW_Diff,SPX_PX_TO_SALES_RATIO_Diff,SPX_PX_TO_CASH_FLOW_QS,SPX_PE_RATIO_QS,EarningSpread_SPX,JALSH_PX_TO_CASH_FLOW_Diff,JALSH_PX_TO_SALES_RATIO_Diff,JALSH_PX_TO_BOOK_RATIO_Diff,JALSH_PE_RATIO_Diff,JALSH_PX_TO_BOOK_RATIO_QS,EarningSpread_JASLH,ValuationSpreadLocalGlobal,AAIIBULL.Index,AAIIBEAR.Index,EPUCCUSM.Index
2006-06-18,2.439017956848144,0.1356094658578161,0.773,0.059,12.23299999999998,3.613145832144035,0.4133358424394323,0.4197305057126403,4.70018690377285,0.9899396378269618,18.59660000000008,0.4783481331987891,1009.82,867.8499999999999,0.3299999999999983
2006-06-25,2.496776654205322,0.1383593575788928,0.826,0.105,12.36579999999999,3.733758181528999,0.4358459637763782,0.4315917876121603,4.93816487175074,0.987987987987988,317.8681000000001,0.4866425702811245,1006.92,872.9399999999999,0.3299999999999983
2006-07-02,2.430115046386719,0.131656448466598,0.752,0.053,12.4619,3.506734826427519,0.403437748992108,0.3602080840140803,4.571742638151254,0.927,325.8332,0.513,1016.17,872.4899999999999,4.929999999999993
2006-07-09,2.363646670227051,0.1282454340606336,0.679,0.027,12.4063,3.350764993998817,0.3788827842666162,0.3505620631142403,4.251248493064454,0.902,369.8338999999999,0.5070000000000001,994.91,896.03,4.929999999999993
2006-07-16,2.34950678817749,0.1292982959618534,0.666,0.026,12.402,3.534801202974388,0.391218680315166,0.3719417715968004,4.48372333497461,0.938,382.2946999999999,0.403,981.41,909.6199999999999,4.929999999999993
2006-07-23,2.419400324554443,0.134294888772498,0.732,0.058,12.218,3.703663382074001,0.4138711824244609,0.3888428914278405,4.674114478535469,0.953,385.8823,0.382,974.49,934.0899999999999,4.929999999999993
2006-07-30,2.490537302093506,0.1343793704769563,0.818,0.101,12.37660000000002,3.911926620520408,0.4504110545668781,0.4459419656857604,4.995263920012679,0.992,366.8993,0.3579999999999999,964.6700000000001,943.7799999999999,4.929999999999993
2006-08-06,2.399168775634766,0.1288652496674686,0.696,0.043,10.35500000000002,3.905027565538233,0.4470571984680312,0.4318805550540804,5.024968244835459,0.981,361.6373000000001,0.2419999999999999,955.94,956.3899999999999,11.84
2006-08-13,2.355701582183838,0.1307478257149521,0.652,0.049,10.432,3.757787300604679,0.4222721314918555,0.4055670605312004,4.787306176832953,0.966,383.8281999999999,0.283,952.3500000000001,962.1399999999999,11.84
2006-08-20,2.335215189666748,0.1367935924239284,0.629,0.19,10.55019999999998,3.767371528259475,0.4223170817770429,0.4104930776576003,4.77898173498428,0.969,437.6597999999999,0.25,939.6700000000001,969.53,11.84
